Time,IMU_SHIN_L_YAW,IMU_SHIN_L_PITCH,IMU_SHIN_L_ROLL,IMU_SHIN_R_YAW,IMU_SHIN_R_PITCH,IMU_SHIN_R_ROLL,
1.50,-0.01,0.31,-4.56,0.00,-0.23,-1.50,
1.51,-0.01,0.31,-4.56,0.00,-0.23,-1.50,
1.51,-0.01,0.31,-4.56,0.00,-0.23,-1.50,
1.52,-0.01,0.30,-4.56,0.01,-0.22,-1.51,
1.53,-0.01,0.30,-4.56,0.01,-0.22,-1.51,
1.54,-0.01,0.30,-4.56,0.01,-0.22,-1.51,
1.55,-0.01,0.30,-4.56,0.01,-0.22,-1.51,
1.57,-0.01,0.30,-4.56,0.01,-0.22,-1.51,
1.58,-0.01,0.30,-4.56,0.01,-0.22,-1.51,
1.59,-0.01,0.30,-4.56,0.01,-0.22,-1.51,
1.60,-0.01,0.30,-4.56,0.01,-0.22,-1.51,
1.61,-0.01,0.30,-4.56,0.01,-0.22,-1.51,
1.62,-0.01,0.30,-4.56,0.01,-0.22,-1.51,
1.62,-0.01,0.30,-4.56,0.01,-0.22,-1.51,
1.63,-0.01,0.30,-4.56,0.01,-0.22,-1.51,
1.64,-0.01,0.30,-4.56,0.01,-0.22,-1.51,
1.65,-0.01,0.30,-4.56,0.01,-0.22,-1.51,
1.66,-0.01,0.30,-4.56,0.01,-0.22,-1.51,
1.67,-0.01,0.30,-4.56,0.01,-0.22,-1.51,
1.68,-0.01,0.30,-4.56,0.01,-0.22,-1.51,
1.70,-0.01,0.30,-4.56,0.01,-0.22,-1.51,
1.71,-0.01,0.30,-4.56,0.01,-0.22,-1.51,
1.72,-0.01,0.30,-4.56,0.01,-0.22,-1.51,
1.73,-0.01,0.30,-4.56,0.01,-0.22,-1.51,
1.74,-0.01,0.30,-4.56,0.01,-0.22,-1.51,
1.75,-0.01,0.30,-4.56,0.01,-0.21,-1.51,
1.75,-0.01,0.30,-4.56,0.01,-0.21,-1.51,
1.76,-0.01,0.30,-4.56,0.01,-0.21,-1.52,
1.77,-0.01,0.30,-4.56,0.01,-0.21,-1.52,
1.78,-0.01,0.30,-4.56,0.01,-0.21,-1.52,
1.79,-0.01,0.30,-4.56,0.01,-0.21,-1.52,
1.80,-0.01,0.30,-4.56,0.01,-0.21,-1.52,
1.82,-0.01,0.30,-4.56,0.01,-0.21,-1.52,
1.83,-0.01,0.30,-4.56,0.01,-0.21,-1.52,
1.84,-0.01,0.30,-4.56,0.01,-0.21,-1.52,
1.85,-0.01,0.30,-4.56,0.01,-0.21,-1.52,
1.86,-0.01,0.30,-4.56,0.01,-0.21,-1.52,
1.87,-0.01,0.30,-4.56,0.01,-0.21,-1.52,
1.88,-0.01,0.30,-4.56,0.01,-0.21,-1.52,
1.88,-0.01,0.30,-4.56,0.01,-0.21,-1.52,
1.89,-0.01,0.30,-4.56,0.01,-0.21,-1.52,
1.90,-0.01,0.31,-4.56,0.01,-0.22,-1.52,
1.91,-0.01,0.31,-4.56,0.01,-0.22,-1.52,
1.92,-0.01,0.31,-4.56,0.01,-0.22,-1.52,
1.93,-0.01,0.31,-4.56,0.01,-0.22,-1.52,
1.95,-0.01,0.31,-4.56,0.01,-0.21,-1.52,
1.96,-0.01,0.31,-4.56,0.01,-0.21,-1.52,
1.97,-0.01,0.31,-4.56,0.01,-0.21,-1.52,
1.98,-0.01,0.31,-4.56,0.01,-0.21,-1.52,
1.99,-0.01,0.31,-4.56,0.01,-0.21,-1.52,
1.99,-0.01,0.31,-4.56,0.01,-0.21,-1.52,
2.00,-0.01,0.31,-4.56,0.01,-0.21,-1.52,
2.01,-0.01,0.31,-4.56,0.01,-0.21,-1.52,
2.02,-0.01,0.31,-4.56,0.01,-0.21,-1.52,
2.03,-0.01,0.31,-4.56,0.01,-0.21,-1.52,
2.05,-0.01,0.31,-4.56,0.01,-0.21,-1.52,
2.06,-0.01,0.31,-4.56,0.01,-0.21,-1.52,
2.07,-0.01,0.31,-4.56,0.01,-0.21,-1.52,
2.08,-0.01,0.31,-4.56,0.01,-0.21,-1.52,
2.09,-0.01,0.31,-4.56,0.01,-0.21,-1.52,
2.10,-0.01,0.31,-4.56,0.01,-0.21,-1.52,
2.10,-0.01,0.31,-4.56,0.01,-0.21,-1.52,
2.11,-0.01,0.31,-4.56,0.01,-0.21,-1.52,
2.12,-0.01,0.31,-4.56,0.01,-0.21,-1.53,
2.13,-0.01,0.31,-4.56,0.01,-0.22,-1.53,
2.14,-0.01,0.31,-4.56,0.01,-0.22,-1.53,
2.15,-0.01,0.31,-4.56,0.01,-0.22,-1.53,
2.16,-0.01,0.31,-4.56,0.01,-0.22,-1.53,
2.17,-0.01,0.31,-4.56,0.01,-0.22,-1.53,
2.18,-0.01,0.31,-4.56,0.01,-0.22,-1.53,
2.19,-0.01,0.31,-4.56,0.01,-0.22,-1.53,
