Time,IMU_SHIN_L_YAW,IMU_SHIN_L_PITCH,IMU_SHIN_L_ROLL,IMU_SHIN_R_YAW,IMU_SHIN_R_PITCH,IMU_SHIN_R_ROLL,
10.47,0.00,0.03,-4.71,0.00,-0.11,-1.87,
10.47,0.00,0.03,-4.71,0.00,-0.11,-1.87,
10.47,0.00,0.03,-4.71,0.00,-0.11,-1.87,
10.49,0.00,0.03,-4.78,-0.01,-0.11,-1.91,
10.50,0.00,0.03,-4.78,0.00,-0.11,-1.91,
10.51,0.00,0.03,-4.78,0.00,-0.11,-1.91,
10.52,0.00,0.03,-4.78,0.00,-0.11,-1.91,
10.53,0.00,0.03,-4.78,0.00,-0.11,-1.91,
10.54,0.00,0.03,-4.78,0.00,-0.11,-1.91,
10.55,0.00,0.03,-4.78,0.00,-0.11,-1.91,
10.56,0.00,0.03,-4.78,0.00,-0.11,-1.91,
10.57,0.00,0.03,-4.78,0.00,-0.11,-1.91,
10.58,0.00,0.02,-4.78,0.00,-0.11,-1.91,
10.59,0.00,0.02,-4.78,0.00,-0.11,-1.91,
10.60,0.00,0.02,-4.78,0.00,-0.11,-1.91,
10.61,0.00,0.02,-4.78,0.00,-0.11,-1.91,
10.62,0.00,0.02,-4.78,0.00,-0.11,-1.91,
10.63,0.00,0.02,-4.78,0.00,-0.11,-1.91,
10.64,0.00,0.02,-4.78,0.00,-0.11,-1.91,
10.65,0.00,0.02,-4.78,0.00,-0.12,-1.91,
10.66,0.00,0.02,-4.78,0.00,-0.11,-1.91,
10.67,0.00,0.02,-4.78,0.00,-0.11,-1.91,
10.68,0.00,0.03,-4.78,0.00,-0.11,-1.92,
10.69,0.00,0.03,-4.78,0.00,-0.11,-1.92,
10.70,0.00,0.03,-4.78,0.00,-0.11,-1.92,
10.71,0.00,0.03,-4.78,0.00,-0.11,-1.92,
10.72,0.00,0.03,-4.78,-0.01,-0.11,-1.92,
10.73,0.00,0.03,-4.78,-0.01,-0.11,-1.92,
10.74,0.00,0.03,-4.78,-0.01,-0.11,-1.92,
10.75,0.00,0.03,-4.78,-0.01,-0.11,-1.92,
10.76,0.00,0.03,-4.78,-0.01,-0.12,-1.92,
10.77,0.00,0.03,-4.78,-0.01,-0.12,-1.92,
10.78,0.00,0.03,-4.78,-0.01,-0.11,-1.92,
10.79,0.00,0.03,-4.78,-0.01,-0.11,-1.92,
10.80,0.00,0.03,-4.78,-0.01,-0.11,-1.92,
10.81,0.00,0.03,-4.77,-0.01,-0.11,-1.92,
10.82,0.00,0.03,-4.77,-0.01,-0.11,-1.92,
10.83,0.00,0.03,-4.77,-0.01,-0.11,-1.92,
10.84,0.00,0.03,-4.77,-0.01,-0.11,-1.92,
10.85,0.00,0.03,-4.77,-0.01,-0.12,-1.92,
10.86,0.00,0.03,-4.77,-0.01,-0.12,-1.92,
10.87,0.00,0.03,-4.77,-0.01,-0.12,-1.92,
10.88,0.00,0.03,-4.77,0.00,-0.12,-1.92,
10.89,0.00,0.03,-4.77,0.00,-0.12,-1.93,
10.90,0.00,0.03,-4.77,0.00,-0.12,-1.93,
10.91,0.00,0.03,-4.77,0.00,-0.13,-1.93,
10.92,0.00,0.03,-4.77,0.00,-0.13,-1.93,
10.93,0.00,0.03,-4.77,0.00,-0.13,-1.93,
10.94,0.00,0.03,-4.77,0.00,-0.13,-1.93,
10.95,0.00,0.03,-4.77,0.00,-0.13,-1.93,
10.96,0.00,0.03,-4.77,0.00,-0.13,-1.93,
