Time,IMU_SHIN_L_YAW,IMU_SHIN_L_PITCH,IMU_SHIN_L_ROLL,IMU_SHIN_R_YAW,IMU_SHIN_R_PITCH,IMU_SHIN_R_ROLL,FSR_HEEL_L_RAW,FSR_HEEL_R_RAW,
10.62,0.00,0.09,-4.75,-0.03,-0.08,-1.15,1007.00,1012.00,
10.62,0.00,0.09,-4.75,-0.03,-0.08,-1.15,1014.00,1012.00,
10.62,0.00,0.09,-4.75,-0.03,-0.08,-1.15,1014.00,1012.00,
10.64,0.00,0.05,-4.78,0.00,-0.07,-1.18,1014.00,1012.00,
10.65,0.00,0.05,-4.78,0.00,-0.07,-1.18,1014.00,1012.00,
10.66,0.00,0.05,-4.78,0.00,-0.07,-1.18,1014.00,1012.00,
10.67,0.00,0.05,-4.78,0.00,-0.07,-1.18,1014.00,1012.00,
10.68,0.00,0.05,-4.78,0.00,-0.07,-1.18,1014.00,1012.00,
10.69,0.00,0.05,-4.78,0.00,-0.07,-1.18,1014.00,1012.00,
10.70,0.00,0.05,-4.78,0.00,-0.07,-1.18,1014.00,1012.00,
10.71,0.00,0.05,-4.78,0.00,-0.07,-1.18,1014.00,1011.00,
10.72,0.00,0.05,-4.78,0.00,-0.07,-1.18,1014.00,1012.00,
10.73,0.00,0.05,-4.78,0.00,-0.07,-1.18,1013.00,1012.00,
10.74,0.00,0.05,-4.78,0.00,-0.07,-1.18,1014.00,1012.00,
10.75,0.00,0.05,-4.78,0.00,-0.07,-1.18,1014.00,1012.00,
10.76,0.00,0.05,-4.78,0.00,-0.07,-1.18,1014.00,1011.00,
10.77,0.00,0.05,-4.78,0.00,-0.07,-1.18,1014.00,1012.00,
10.78,0.00,0.05,-4.78,0.00,-0.07,-1.18,1013.00,1012.00,
10.79,0.00,0.05,-4.78,0.00,-0.07,-1.18,1013.00,1012.00,
10.80,0.00,0.05,-4.78,0.00,-0.07,-1.18,1014.00,1011.00,
10.81,0.00,0.05,-4.78,0.00,-0.07,-1.18,1014.00,1012.00,
