Time,IMU_SHIN_L_YAW,IMU_SHIN_L_PITCH,IMU_SHIN_L_ROLL,IMU_SHIN_R_YAW,IMU_SHIN_R_PITCH,IMU_SHIN_R_ROLL,FSR_HEEL_L_RAW,FSR_HEEL_R_RAW,IMU_FOOT_L_YAW,IMU_FOOT_L_PITCH,IMU_FOOT_L_ROLL,IMU_FOOT_R_YAW,IMU_FOOT_R_PITCH,IMU_FOOT_R_ROLL,
5.61,0.00,-0.27,-2.51,-0.01,0.37,-5.17,9.00,8.00,0.00,-0.27,-2.51,-0.01,0.37,-5.17,
5.61,0.00,-0.27,-2.51,-0.01,0.37,-5.17,8.00,8.00,0.00,-0.27,-2.51,-0.01,0.37,-5.17,
5.63,0.00,-0.27,-2.55,-0.01,0.37,-5.17,8.00,8.00,0.00,-0.27,-2.55,-0.01,0.37,-5.17,
5.64,0.00,-0.27,-2.55,-0.02,0.40,-5.19,8.00,9.00,0.00,-0.27,-2.55,-0.02,0.40,-5.19,
5.65,0.00,-0.27,-2.55,-0.02,0.40,-5.19,8.00,8.00,0.00,-0.27,-2.55,-0.02,0.40,-5.19,
5.66,0.00,-0.27,-2.55,-0.02,0.40,-5.19,8.00,8.00,0.00,-0.27,-2.55,-0.02,0.40,-5.19,
5.67,0.00,-0.27,-2.55,-0.02,0.40,-5.19,8.00,8.00,0.00,-0.27,-2.55,-0.02,0.40,-5.19,
5.68,0.00,-0.27,-2.55,-0.02,0.40,-5.19,8.00,8.00,0.00,-0.27,-2.55,-0.02,0.40,-5.19,
5.69,0.00,-0.27,-2.55,-0.02,0.39,-5.19,8.00,8.00,0.00,-0.27,-2.55,-0.02,0.39,-5.19,
5.70,0.00,-0.27,-2.55,-0.02,0.40,-5.19,8.00,9.00,0.00,-0.27,-2.55,-0.02,0.40,-5.19,
5.71,0.00,-0.27,-2.55,-0.02,0.40,-5.19,8.00,8.00,0.00,-0.27,-2.55,-0.02,0.40,-5.19,
5.72,0.00,-0.27,-2.55,-0.02,0.40,-5.19,8.00,8.00,0.00,-0.27,-2.55,-0.02,0.40,-5.19,
5.73,0.00,-0.27,-2.55,-0.02,0.39,-5.19,8.00,8.00,0.00,-0.27,-2.55,-0.02,0.39,-5.19,
5.74,0.00,-0.27,-2.55,-0.02,0.39,-5.19,8.00,8.00,0.00,-0.27,-2.55,-0.02,0.39,-5.19,
5.75,0.00,-0.27,-2.55,-0.02,0.39,-5.19,8.00,8.00,0.00,-0.27,-2.55,-0.02,0.39,-5.19,
5.76,0.00,-0.27,-2.55,-0.02,0.39,-5.19,8.00,8.00,0.00,-0.27,-2.55,-0.02,0.39,-5.19,
5.77,0.00,-0.27,-2.55,-0.02,0.39,-5.19,8.00,9.00,0.00,-0.27,-2.55,-0.02,0.39,-5.19,
5.78,0.00,-0.27,-2.55,-0.02,0.39,-5.19,8.00,8.00,0.00,-0.27,-2.55,-0.02,0.39,-5.19,
5.79,0.00,-0.27,-2.55,-0.02,0.39,-5.19,8.00,8.00,0.00,-0.27,-2.55,-0.02,0.39,-5.19,
5.80,0.00,-0.27,-2.55,-0.02,0.39,-5.19,8.00,8.00,0.00,-0.27,-2.55,-0.02,0.39,-5.19,
5.81,0.00,-0.27,-2.55,-0.02,0.39,-5.19,8.00,8.00,0.00,-0.27,-2.55,-0.02,0.39,-5.19,
5.82,0.00,-0.27,-2.55,-0.02,0.39,-5.19,8.00,8.00,0.00,-0.27,-2.55,-0.02,0.39,-5.19,
5.83,0.00,-0.27,-2.55,-0.02,0.39,-5.19,8.00,9.00,0.00,-0.27,-2.55,-0.02,0.39,-5.19,
5.84,0.00,-0.27,-2.55,-0.02,0.39,-5.19,8.00,8.00,0.00,-0.27,-2.55,-0.02,0.39,-5.19,
5.85,0.00,-0.27,-2.55,-0.02,0.39,-5.19,9.00,8.00,0.00,-0.27,-2.55,-0.02,0.39,-5.19,
5.86,0.00,-0.27,-2.55,-0.02,0.39,-5.19,8.00,8.00,0.00,-0.27,-2.55,-0.02,0.39,-5.19,
5.87,0.00,-0.27,-2.55,-0.02,0.39,-5.19,8.00,8.00,0.00,-0.27,-2.55,-0.02,0.39,-5.19,
5.88,0.00,-0.27,-2.55,-0.02,0.39,-5.19,8.00,8.00,0.00,-0.27,-2.55,-0.02,0.39,-5.19,
5.89,0.00,-0.27,-2.55,-0.02,0.39,-5.19,8.00,8.00,0.00,-0.27,-2.55,-0.02,0.39,-5.19,
5.90,0.00,-0.27,-2.55,-0.02,0.39,-5.19,8.00,8.00,0.00,-0.27,-2.55,-0.02,0.39,-5.19,
5.91,0.00,-0.27,-2.55,-0.02,0.39,-5.19,8.00,8.00,0.00,-0.27,-2.55,-0.02,0.39,-5.19,
5.92,0.00,-0.27,-2.55,-0.02,0.39,-5.19,8.00,9.00,0.00,-0.27,-2.55,-0.02,0.39,-5.19,
5.93,0.00,-0.27,-2.55,-0.02,0.39,-5.19,8.00,9.00,0.00,-0.27,-2.55,-0.02,0.39,-5.19,
5.94,0.00,-0.27,-2.55,-0.02,0.39,-5.19,8.00,9.00,0.00,-0.27,-2.55,-0.02,0.39,-5.19,
5.95,0.00,-0.27,-2.55,-0.02,0.39,-5.19,8.00,6.00,0.00,-0.27,-2.55,-0.02,0.39,-5.19,
5.96,0.00,-0.27,-2.55,-0.02,0.39,-5.19,7.00,9.00,0.00,-0.27,-2.55,-0.02,0.39,-5.19,
5.97,0.00,-0.27,-2.55,-0.02,0.39,-5.19,8.00,7.00,0.00,-0.27,-2.55,-0.02,0.39,-5.19,
5.98,0.00,-0.27,-2.55,-0.02,0.39,-5.19,8.00,7.00,0.00,-0.27,-2.55,-0.02,0.39,-5.19,
5.99,0.00,-0.27,-2.55,-0.02,0.40,-5.19,9.00,9.00,0.00,-0.27,-2.55,-0.02,0.40,-5.19,
6.00,0.00,-0.27,-2.55,-0.02,0.40,-5.19,9.00,8.00,0.00,-0.27,-2.55,-0.02,0.40,-5.19,
6.01,0.00,-0.27,-2.55,-0.02,0.40,-5.19,6.00,8.00,0.00,-0.27,-2.55,-0.02,0.40,-5.19,
6.02,0.00,-0.27,-2.55,-0.02,0.40,-5.19,7.00,8.00,0.00,-0.27,-2.55,-0.02,0.40,-5.19,
6.03,0.00,-0.27,-2.55,-0.02,0.40,-5.19,8.00,8.00,0.00,-0.27,-2.55,-0.02,0.40,-5.19,
6.04,0.00,-0.27,-2.55,-0.02,0.40,-5.19,8.00,9.00,0.00,-0.27,-2.55,-0.02,0.40,-5.19,
6.05,0.00,-0.27,-2.55,-0.02,0.40,-5.19,8.00,8.00,0.00,-0.27,-2.55,-0.02,0.40,-5.19,
6.06,0.00,-0.27,-2.55,-0.02,0.40,-5.19,8.00,8.00,0.00,-0.27,-2.55,-0.02,0.40,-5.19,
6.07,0.00,-0.27,-2.55,-0.02,0.40,-5.19,8.00,9.00,0.00,-0.27,-2.55,-0.02,0.40,-5.19,
6.08,0.00,-0.27,-2.55,-0.02,0.40,-5.19,9.00,13.00,0.00,-0.27,-2.55,-0.02,0.40,-5.19,
6.09,0.00,-0.27,-2.55,-0.02,0.39,-5.19,10.00,8.00,0.00,-0.27,-2.55,-0.02,0.39,-5.19,
6.10,0.00,-0.27,-2.55,-0.02,0.39,-5.19,8.00,9.00,0.00,-0.27,-2.55,-0.02,0.39,-5.19,
6.11,0.00,-0.27,-2.55,-0.02,0.39,-5.19,8.00,6.00,0.00,-0.27,-2.55,-0.02,0.39,-5.19,
6.12,0.00,-0.27,-2.55,-0.02,0.39,-5.19,11.00,7.00,0.00,-0.27,-2.55,-0.02,0.39,-5.19,
6.13,0.00,-0.27,-2.55,-0.02,0.39,-5.19,8.00,8.00,0.00,-0.27,-2.55,-0.02,0.39,-5.19,
6.14,0.00,-0.27,-2.55,-0.02,0.39,-5.19,8.00,12.00,0.00,-0.27,-2.55,-0.02,0.39,-5.19,
6.15,0.00,-0.27,-2.55,-0.02,0.39,-5.19,8.00,9.00,0.00,-0.27,-2.55,-0.02,0.39,-5.19,
6.16,0.00,-0.27,-2.55,-0.02,0.39,-5.19,8.00,8.00,0.00,-0.27,-2.55,-0.02,0.39,-5.19,
6.17,0.00,-0.27,-2.55,-0.01,0.39,-5.19,7.00,13.00,0.00,-0.27,-2.55,-0.01,0.39,-5.19,
6.18,0.00,-0.27,-2.55,-0.01,0.39,-5.19,8.00,6.00,0.00,-0.27,-2.55,-0.01,0.39,-5.19,
6.19,0.00,-0.27,-2.55,-0.01,0.39,-5.19,9.00,7.00,0.00,-0.27,-2.55,-0.01,0.39,-5.19,
6.20,0.00,-0.27,-2.55,-0.01,0.39,-5.19,8.00,8.00,0.00,-0.27,-2.55,-0.01,0.39,-5.19,
6.21,0.00,-0.27,-2.55,-0.01,0.39,-5.19,8.00,9.00,0.00,-0.27,-2.55,-0.01,0.39,-5.19,
6.22,0.00,-0.27,-2.55,-0.01,0.39,-5.19,14.00,9.00,0.00,-0.27,-2.55,-0.01,0.39,-5.19,
6.23,0.00,-0.27,-2.55,-0.01,0.39,-5.19,14.00,8.00,0.00,-0.27,-2.55,-0.01,0.39,-5.19,
6.24,0.00,-0.27,-2.55,-0.01,0.39,-5.19,6.00,19.00,0.00,-0.27,-2.55,-0.01,0.39,-5.19,
6.25,0.00,-0.27,-2.55,-0.01,0.39,-5.19,8.00,9.00,0.00,-0.27,-2.55,-0.01,0.39,-5.19,
6.26,0.00,-0.27,-2.54,-0.01,0.39,-5.19,8.00,6.00,0.00,-0.27,-2.54,-0.01,0.39,-5.19,
6.27,0.00,-0.27,-2.54,-0.01,0.39,-5.19,8.00,6.00,0.00,-0.27,-2.54,-0.01,0.39,-5.19,
6.28,0.00,-0.27,-2.54,-0.01,0.39,-5.19,8.00,6.00,0.00,-0.27,-2.54,-0.01,0.39,-5.19,
6.29,0.00,-0.27,-2.54,-0.01,0.39,-5.19,8.00,4.00,0.00,-0.27,-2.54,-0.01,0.39,-5.19,
6.30,0.00,-0.27,-2.54,-0.01,0.39,-5.19,9.00,23.00,0.00,-0.27,-2.54,-0.01,0.39,-5.19,
6.31,0.00,-0.27,-2.54,-0.01,0.39,-5.19,9.00,20.00,0.00,-0.27,-2.54,-0.01,0.39,-5.19,
6.32,0.00,-0.26,-2.54,-0.01,0.39,-5.19,8.00,9.00,0.00,-0.26,-2.54,-0.01,0.39,-5.19,
6.33,0.00,-0.26,-2.54,-0.01,0.39,-5.19,8.00,9.00,0.00,-0.26,-2.54,-0.01,0.39,-5.19,
6.34,0.00,-0.26,-2.54,-0.01,0.39,-5.19,8.00,8.00,0.00,-0.26,-2.54,-0.01,0.39,-5.19,
6.35,0.00,-0.26,-2.54,-0.01,0.39,-5.19,8.00,8.00,0.00,-0.26,-2.54,-0.01,0.39,-5.19,
6.36,0.00,-0.26,-2.54,-0.01,0.39,-5.19,8.00,9.00,0.00,-0.26,-2.54,-0.01,0.39,-5.19,
6.37,0.00,-0.26,-2.54,-0.01,0.39,-5.19,8.00,8.00,0.00,-0.26,-2.54,-0.01,0.39,-5.19,
6.38,0.00,-0.26,-2.54,-0.01,0.39,-5.19,10.00,8.00,0.00,-0.26,-2.54,-0.01,0.39,-5.19,
6.39,0.00,-0.26,-2.54,-0.01,0.39,-5.19,10.00,6.00,0.00,-0.26,-2.54,-0.01,0.39,-5.19,
6.40,0.00,-0.26,-2.54,-0.01,0.39,-5.19,9.00,8.00,0.00,-0.26,-2.54,-0.01,0.39,-5.19,
6.41,0.00,-0.26,-2.54,-0.01,0.39,-5.19,9.00,8.00,0.00,-0.26,-2.54,-0.01,0.39,-5.19,
6.42,0.00,-0.26,-2.54,-0.02,0.39,-5.19,8.00,9.00,0.00,-0.26,-2.54,-0.02,0.39,-5.19,
6.43,0.00,-0.26,-2.54,-0.02,0.39,-5.19,7.00,9.00,0.00,-0.26,-2.54,-0.02,0.39,-5.19,
6.44,0.00,-0.26,-2.54,-0.02,0.39,-5.19,8.00,9.00,0.00,-0.26,-2.54,-0.02,0.39,-5.19,
6.45,0.00,-0.26,-2.54,-0.02,0.39,-5.19,7.00,9.00,0.00,-0.26,-2.54,-0.02,0.39,-5.19,
6.46,0.00,-0.26,-2.54,-0.02,0.39,-5.19,8.00,8.00,0.00,-0.26,-2.54,-0.02,0.39,-5.19,
6.47,0.00,-0.26,-2.54,-0.02,0.39,-5.19,8.00,9.00,0.00,-0.26,-2.54,-0.02,0.39,-5.19,
6.48,0.00,-0.26,-2.54,-0.02,0.39,-5.19,8.00,8.00,0.00,-0.26,-2.54,-0.02,0.39,-5.19,
6.49,0.00,-0.26,-2.54,-0.02,0.39,-5.19,8.00,8.00,0.00,-0.26,-2.54,-0.02,0.39,-5.19,
6.50,0.00,-0.26,-2.54,-0.01,0.39,-5.19,8.00,9.00,0.00,-0.26,-2.54,-0.01,0.39,-5.19,
