Header,pelvis_tilt,pelvis_list,pelvis_rotation,pelvis_tx,pelvis_ty,pelvis_tz,hip_flexion_r,hip_adduction_r,hip_rotation_r,knee_angle_r,ankle_angle_r,subtalar_angle_r,mtp_angle_r,hip_flexion_l,hip_adduction_l,hip_rotation_l,knee_angle_l,ankle_angle_l,subtalar_angle_l,mtp_angle_l,lumbar_extension,lumbar_bending,lumbar_rotation
14.42,1.84300105,-3.12033915,-13.44287847,0.01467791,0.94711784,-0.35245553,-4.65291871,-0.80726835,-12.51452142,-41.48246187,19.86354752,9.77926347,0,23.43156944,-2.28513888,-22.14413669,-25.36236186,3.88108754,-25.26913541,0,0,0,0
14.425,1.84364179,-3.07042863,-13.21096045,0.01885138,0.94740135,-0.35240907,-4.29663221,-1.09533172,-12.68975638,-42.45936364,18.81081449,9.99607008,0,23.3049479,-2.14027253,-21.92629662,-25.57032623,4.25536524,-25.13967929,0,0,0,0
14.43,1.85734091,-3.01220027,-12.98289601,0.02317199,0.94770237,-0.35237288,-3.9356553,-1.4121335,-12.85272343,-43.47071074,17.69951189,10.24186961,0,23.15143748,-1.9831183,-21.72107142,-25.77075655,4.64285687,-24.99588881,0,0,0,0
14.435,1.87603226,-2.95351473,-12.75306088,0.02759341,0.94801316,-0.35233427,-3.5666298,-1.74082696,-13.00793259,-44.50399007,16.53393039,10.48639646,0,22.98373382,-1.82414295,-21.52081983,-25.96842562,5.03387963,-24.84905903,0,0,0,0
14.44,1.89672481,-2.8944593,-12.52647192,0.03208025,0.94832692,-0.3523128,-3.18530785,-2.07940427,-13.14382564,-45.55483716,15.32568874,10.73674957,0,22.80486243,-1.66279047,-21.32600286,-26.15834142,5.4291924,-24.69947746,0,0,0,0
14.445,1.91947031,-2.83678909,-12.30530122,0.03660072,0.9486457,-0.35229173,-2.79269084,-2.4233664,-13.25948073,-46.61676077,14.08316669,10.98231056,0,22.61427838,-1.50296442,-21.13854164,-26.3375174,5.82351137,-24.55111178,0,0,0,0
14.45,1.94339639,-2.77960084,-12.09094939,0.04112781,0.94897097,-0.35227578,-2.38650713,-2.77049842,-13.34959957,-47.68634428,12.81364408,11.22675408,0,22.41316055,-1.3432381,-20.95851426,-26.50289463,6.21468001,-24.40076873,0,0,0,0
14.455,1.96997192,-2.7283837,-11.87953488,0.04563865,0.94930245,-0.35227246,-1.97069999,-3.11514281,-13.42231164,-48.75804313,11.52166139,11.44608343,0,22.20339101,-1.19003558,-20.78875154,-26.65924003,6.59467481,-24.26184393,0,0,0,0
14.46,1.99679565,-2.67930678,-11.67584454,0.05011784,0.94964281,-0.3522683,-1.54083667,-3.4576178,-13.46905149,-49.82959718,10.21564365,11.65472992,0,21.98346364,-1.03930038,-20.62611489,-26.79602529,6.96597278,-24.12487148,0,0,0,0
14.465,2.02615887,-2.635031,-11.47872781,0.05455091,0.94999568,-0.35226624,-1.10002897,-3.79400275,-13.49149586,-50.8969989,8.90331337,11.8412052,0,21.75212139,-0.89319608,-20.47014654,-26.91497161,7.32846612,-23.99462549,0,0,0,0
